Title,Author,Genre,Height,Publisher,ID,PublishDate,Description
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",history,228,Simon&Schuster,116,2010,
Uncommon Wisdom,"Capra, Fritjof",nonfiction,197,Fontana,117,2010,
One,"Bach, Richard",nonfiction,172,Dell,118,2015,
Karl Marx Biography,,nonfiction,162,,119,2014,
To Sir With Love,Braithwaite,fiction,197,Penguin,120,2010,
Half A Life,"Naipaul, V S",fiction,196,,121,2020,
"Discovery of India, The","Nehru, Jawaharlal",history,230,,122,2019,
Apulki,"Deshpande, P L",nonfiction,211,,123,2018,
Unpopular Essays,"Russell, Bertrand",philosophy,198,,124,2013,
"Deceiver, The","Forsyth, Frederick",fiction,178,,125,2018,
Veil: Secret Wars of the CIA,"Woodward, Bob",history,171,,126,2016,
Char Shabda,"Deshpande, P L",nonfiction,214,,127,2010,
Rosy is My Relative,"Durrell, Gerald",fiction,176,,128,2022,
"Moon and Sixpence, The","Maugham, William S",fiction,180,,129,2022,
Political Philosophers,,philosophy,162,,130,2013,
"Short History of the World, A","Wells, H G",history,197,,131,2020,
"Trembling of a Leaf, The","Maugham, William S",fiction,205,,132,2018,
Doctor on the Brain,"Gordon, Richard",fiction,204,,133,2020,
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,233,,134,2018,
Pattern Classification,"Duda, Hart",data_science,241,,135,2013,
From Beirut to Jerusalem,"Friedman, Thomas",history,202,,136,2020,
"Code Book, The","Singh, Simon",science,197,,137,2019,
"Age of the Warrior, The","Fisk, Robert",history,197,,138,2012,
Final Crisis,,comic,257,,139,2022,
"Killing Joke, The",,comic,283,,140,2015,
Flashpoint,,comic,265,,141,2015,
Batman Earth One,,comic,265,,142,2012,
Crisis on Infinite Earths,,comic,258,,143,2019,
"Numbers Behind Numb3rs, The","Devlin, Keith",science,202,,144,2017,
Superman Earth One - 1,,comic,259,,145,2014,
Superman Earth One - 2,,comic,258,,146,2020,
Justice League: Throne of Atlantis,,comic,258,,147,2020,
Justice League: The Villain's Journey,,comic,258,,148,2020,
"Death of Superman, The",,comic,258,,149,2010,
History of the DC Universe,,comic,258,,150,2016,
Batman: The Long Halloween,,comic,258,,151,2014,
"Life in Letters, A","Steinbeck, John",nonfiction,196,,152,2012,
"Information, The","Gleick, James",science,233,,153,2020,
"Journal of Economics, vol 106 No 3",,economics,235,,154,2013,
Elements of Information Theory,"Thomas, Joy",data_science,229,,155,2014,
Power Electronics - Rashid,"Rashid, Muhammad",computer_science,235,,156,2012,
Power Electronics - Mohan,"Mohan, Ned",computer_science,237,,157,2018,
Neural Networks,"Haykin, Simon",data_science,240,,158,2021,
"Grapes of Wrath, The","Steinbeck, John",fiction,196,,159,2011,
Vyakti ani Valli,"Deshpande, P L",nonfiction,211,,160,2014,
Statistical Learning Theory,"Vapnik, Vladimir",data_science,228,,161,2012,
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",history,180,,162,2011,
Empire of the Mughal - Brothers at War,"Rutherford, Alex",history,180,,163,2011,
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",history,180,,164,2016,
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",history,180,,165,2019,
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",history,180,,166,2022,
Mossad,"Baz-Zohar, Michael",history,236,,167,2014,
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,223,,168,2021,
20000 Leagues Under the Sea,"Verne, Jules",fiction,190,,169,2015,
Batatyachi Chal,Deshpande P L,fiction,200,,170,2010,
Hafasavnuk,Deshpande P L,fiction,211,,171,2012,
Urlasurla,Deshpande P L,fiction,211,,172,2022,
Pointers in C,"Kanetkar, Yashwant",computer_science,213,,173,2020,
"Cathedral and the Bazaar, The","Raymond, Eric",computer_science,217,,174,2018,
Design with OpAmps,"Franco, Sergio",computer_science,240,,175,2015,
Think Complexity,"Downey, Allen",data_science,230,,176,2016,
